ward_code,ward_name,district_name,province_name
"29590","Xã Thanh Đức","Huyện Long Hồ","Tỉnh Vĩnh Long"
"26898","Phường 8","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26899","Phường 11","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26974","Phường 13","Quận Tân Bình","Thành phố Hồ Chí Minh"
"27004","Phường 14","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26995","Phường 6","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26998","Phường 8","Quận Tân Bình","Thành phố Hồ Chí Minh"
"27001","Phường 9","Quận Tân Bình","Thành phố Hồ Chí Minh"
"27007","Phường 15","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26977","Phường 1","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26965","Phường 2","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26980","Phường 3","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26968","Phường 4","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26989","Phường 5","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26986","Phường 7","Quận Tân Bình","Thành phố Hồ Chí Minh"
"27457","Phường Tân Tạo A","Quận Bình Tân","Thành phố Hồ Chí Minh"
"27454","Phường Tân Tạo","Quận Bình Tân","Thành phố Hồ Chí Minh"
"27298","Phường 1","Quận 4","Thành phố Hồ Chí Minh"
"27286","Phường 3","Quận 4","Thành phố Hồ Chí Minh"
"27292","Phường 2","Quận 4","Thành phố Hồ Chí Minh"
"27283","Phường 4","Quận 4","Thành phố Hồ Chí Minh"
"27259","Phường 13","Quận 4","Thành phố Hồ Chí Minh"
"27289","Phường 16","Quận 4","Thành phố Hồ Chí Minh"
"27277","Phường 18","Quận 4","Thành phố Hồ Chí Minh"
"22561","Phường Ninh Diêm","Thị xã Ninh Hòa","Tỉnh Khánh Hòa"
"22543","Phường Ninh Hải","Thị xã Ninh Hòa","Tỉnh Khánh Hòa"
"22567","Phường Ninh Thủy","Thị xã Ninh Hòa","Tỉnh Khánh Hòa"
"22606","Xã Ninh Phước","Thị xã Ninh Hòa","Tỉnh Khánh Hòa"
"24814","Phường Lộc Phát","Thành phố Bảo Lộc","Tỉnh Lâm Đồng"
"24823","Phường 1","Thành phố Bảo Lộc","Tỉnh Lâm Đồng"
"24835","Xã Lộc Thanh","Thành phố Bảo Lộc","Tỉnh Lâm Đồng"
"24820","Phường 2","Thành phố Bảo Lộc","Tỉnh Lâm Đồng"
"24832","Xã Đạm Bri","Thành phố Bảo Lộc","Tỉnh Lâm Đồng"
"25078","Xã Lộc Tân","Huyện Bảo Lâm","Tỉnh Lâm Đồng"
"24817","Phường Lộc Tiến","Thành phố Bảo Lộc","Tỉnh Lâm Đồng"
"24841","Xã Lộc Châu","Thành phố Bảo Lộc","Tỉnh Lâm Đồng"
"24844","Xã Đại Lào","Thành phố Bảo Lộc","Tỉnh Lâm Đồng"
"11401","Phường An Dương","Quận Lê Chân","Thành phố Hải Phòng"
"11407","Phường Vĩnh Niệm","Quận Lê Chân","Thành phố Hải Phòng"
"29954","Phường An Lộc","Thành phố Hồng Ngự","Tỉnh Đồng Tháp"
"29989","Phường An Bình A","Thành phố Hồng Ngự","Tỉnh Đồng Tháp"
"29986","Phường An Bình B","Thành phố Hồng Ngự","Tỉnh Đồng Tháp"
"23614","Phường An Bình","Thị xã An Khê","Tỉnh Gia Lai"
"24004","Xã Tân An","Huyện Đăk Pơ","Tỉnh Gia Lai"
"24001","Xã Cư An","Huyện Đăk Pơ","Tỉnh Gia Lai"
"31150","Phường An Bình","Quận Ninh Kiều","Thành phố Cần Thơ"
"31312","Xã Mỹ Khánh","Huyện Phong Điền","Thành phố Cần Thơ"
"19815","Phường An Đông","Quận Thuận Hóa","Thành phố Huế"
"19801","Phường An Cựu","Quận Thuận Hóa","Thành phố Huế"
"19816","Phường An Tây","Quận Thuận Hóa","Thành phố Huế"
"11608","Phường Nam Sơn","Quận An Dương","Thành phố Hải Phòng"
"11614","Phường An Hải","Quận An Dương","Thành phố Hải Phòng"
"11581","Phường Lê Lợi","Quận An Dương","Thành phố Hải Phòng"
"11596","Phường Tân Tiến","Quận An Dương","Thành phố Hải Phòng"
"20275","Phường Phước Mỹ","Quận Sơn Trà","Thành phố Đà Nẵng"
"20272","Phường An Hải Bắc","Quận Sơn Trà","Thành phố Đà Nẵng"
"20278","Phường An Hải Nam","Quận Sơn Trà","Thành phố Đà Nẵng"
"11623","Phường An Đồng","Quận An Dương","Thành phố Hải Phòng"
"11626","Phường Hồng Thái","Quận An Dương","Thành phố Hải Phòng"
"11617","Phường Đồng Thái","Quận An Dương","Thành phố Hải Phòng"
"28777","Phường An Hội","Thành phố Bến Tre","Tỉnh Bến Tre"
"28792","Xã Mỹ Thạnh An","Thành phố Bến Tre","Tỉnh Bến Tre"
"28798","Xã Phú Nhuận","Thành phố Bến Tre","Tỉnh Bến Tre"
"29014","Xã Sơn Phú","Huyện Giồng Trôm","Tỉnh Bến Tre"
"27094","Phường An Khánh","Thành phố Thủ Đức","Thành phố Hồ Chí Minh"
"27115","Phường An Lợi Đông","Thành phố Thủ Đức","Thành phố Hồ Chí Minh"
"27088","Phường Thảo Điền","Thành phố Thủ Đức","Thành phố Hồ Chí Minh"
"27118","Phường Thủ Thiêm","Thành phố Thủ Đức","Thành phố Hồ Chí Minh"
"23617","Phường Tây Sơn","Thị xã An Khê","Tỉnh Gia Lai"
"23620","Phường An Phú","Thị xã An Khê","Tỉnh Gia Lai"
"23633","Phường Ngô Mây","Thị xã An Khê","Tỉnh Gia Lai"
"23630","Phường An Phước","Thị xã An Khê","Tỉnh Gia Lai"
"23623","Phường An Tân","Thị xã An Khê","Tỉnh Gia Lai"
"23635","Xã Thành An","Thị xã An Khê","Tỉnh Gia Lai"
"20224","Phường An Khê","Quận Thanh Khê","Thành phố Đà Nẵng"
"20306","Phường Hòa An","Quận Cẩm Lệ","Thành phố Đà Nẵng"
"20305","Phường Hòa Phát","Quận Cẩm Lệ","Thành phố Đà Nẵng"
"25325","Phường Phú Thịnh","Thị xã Bình Long","Tỉnh Bình Phước"
"25336","Xã Thanh Phú","Thị xã Bình Long","Tỉnh Bình Phước"
"25333","Xã Thanh Lương","Thị xã Bình Long","Tỉnh Bình Phước"
"21910","Phường Đập Đá","Thị xã An Nhơn","Tỉnh Bình Định"
"21913","Xã Nhơn Mỹ","Thị xã An Nhơn","Tỉnh Bình Định"
"21922","Xã Nhơn Hậu","Thị xã An Nhơn","Tỉnh Bình Định"
"21916","Phường Nhơn Thành","Thị xã An Nhơn","Tỉnh Bình Định"
"21925","Xã Nhơn Phong","Thị xã An Nhơn","Tỉnh Bình Định"
"21919","Xã Nhơn Hạnh","Thị xã An Nhơn","Tỉnh Bình Định"
"21943","Phường Nhơn Hoà","Thị xã An Nhơn","Tỉnh Bình Định"
"21949","Xã Nhơn Thọ","Thị xã An Nhơn","Tỉnh Bình Định"
"21934","Phường Nhơn Hưng","Thị xã An Nhơn","Tỉnh Bình Định"
"21928","Xã Nhơn An","Thị xã An Nhơn","Tỉnh Bình Định"
"11590","Phường An Hoà","Quận An Dương","Thành phố Hải Phòng"
"11593","Phường Hồng Phong","Quận An Dương","Thành phố Hải Phòng"
"11584","Phường Lê Thiện","Quận An Dương","Thành phố Hải Phòng"
"23582","Phường Thắng Lợi","Thành phố Pleiku","Tỉnh Gia Lai"
"23602","Xã An Phú","Thành phố Pleiku","Tỉnh Gia Lai"
"23599","Xã Chư Á","Thành phố Pleiku","Tỉnh Gia Lai"
"25975","Phường An Phú","Thành phố Thuận An","Tỉnh Bình Dương"
"26779","Phường An Phú Đông","Quận 12","Thành phố Hồ Chí Minh"
"26767","Phường Thạnh Lộc","Quận 12","Thành phố Hồ Chí Minh"
"07075","Xã An Sinh","Thành phố Đông Triều","Tỉnh Quảng Ninh"
"07084","Xã Việt Dân","Thành phố Đông Triều","Tỉnh Quảng Ninh"
"07090","Phường Bình Dương","Thành phố Đông Triều","Tỉnh Quảng Ninh"
"20575","Phường Điện An","Thị xã Điện Bàn","Tỉnh Quảng Nam"
"20562","Phường Điện Thắng Nam","Thị xã Điện Bàn","Tỉnh Quảng Nam"
"20561","Phường Điện Thắng Trung","Thị xã Điện Bàn","Tỉnh Quảng Nam"
"02218","Phường Hưng Thành","Thành phố Tuyên Quang","Tỉnh Tuyên Quang"
"02515","Xã Lưỡng Vượng","Thành phố Tuyên Quang","Tỉnh Tuyên Quang"
"02512","Phường An Tường","Thành phố Tuyên Quang","Tỉnh Tuyên Quang"
"02503","Xã An Khang","Thành phố Tuyên Quang","Tỉnh Tuyên Quang"
"02518","Xã Hoàng Khai","Huyện Yên Sơn","Tỉnh Tuyên Quang"
"25732","Phường An Tịnh","Thị xã Trảng Bàng","Tỉnh Tây Ninh"
"25717","Phường Lộc Hưng","Thị xã Trảng Bàng","Tỉnh Tây Ninh"
"32005","Phường 1","Thành phố Cà Mau","Tỉnh Cà Mau"
"32002","Phường 2","Thành phố Cà Mau","Tỉnh Cà Mau"
"31999","Phường 9","Thành phố Cà Mau","Tỉnh Cà Mau"
"32022","Phường Tân Xuyên","Thành phố Cà Mau","Tỉnh Cà Mau"
"32023","Xã An Xuyên","Thành phố Cà Mau","Tỉnh Cà Mau"
"27334","Phường 5","Quận 5","Thành phố Hồ Chí Minh"
"27316","Phường 7","Quận 5","Thành phố Hồ Chí Minh"
"27304","Phường 9","Quận 5","Thành phố Hồ Chí Minh"
"24044","Phường Đoàn Kết","Thị xã Ayun Pa","Tỉnh Gia Lai"
"24045","Phường Sông Bờ","Thị xã Ayun Pa","Tỉnh Gia Lai"
"24041","Phường Cheo Reo","Thị xã Ayun Pa","Tỉnh Gia Lai"
"24042","Phường Hòa Bình","Thị xã Ayun Pa","Tỉnh Gia Lai"
"22423","Phường Ba Ngòi","Thành phố Cam Ranh","Tỉnh Khánh Hòa"
"22474","Xã Cam Phước Đông","Thành phố Cam Ranh","Tỉnh Khánh Hòa"
"00013","Phường Quán Thánh","Quận Ba Đình","Thành phố Hà Nội"
"00004","Phường Trúc Bạch","Quận Ba Đình","Thành phố Hà Nội"
"00019","Phường Điện Biên","Quận Ba Đình","Thành phố Hà Nội"
"00022","Phường Đội Cấn","Quận Ba Đình","Thành phố Hà Nội"
"19087","Xã Quảng Hải","Thị xã Ba Đồn","Tỉnh Quảng Bình"
"19078","Phường Quảng Phong","Thị xã Ba Đồn","Tỉnh Quảng Bình"
"19060","Phường Quảng Long","Thị xã Ba Đồn","Tỉnh Quảng Bình"
"19009","Phường Ba Đồn","Thị xã Ba Đồn","Tỉnh Quảng Bình"
"26062","Phường Tân Hạnh","Thành phố Biên Hòa","Tỉnh Đồng Nai"
"26068","Phường Hóa An","Thành phố Biên Hòa","Tỉnh Đồng Nai"
"26053","Phường Bửu Hòa","Thành phố Biên Hòa","Tỉnh Đồng Nai"
"26059","Phường Tân Vạn","Thành phố Biên Hòa","Tỉnh Đồng Nai"
"24305","Phường An Lạc","Thị xã Buôn Hồ","Tỉnh Đắk Lắk"
"24308","Phường An Bình","Thị xã Buôn Hồ","Tỉnh Đắk Lắk"
"24311","Phường Thiện An","Thị xã Buôn Hồ","Tỉnh Đắk Lắk"
"24318","Phường Đạt Hiếu","Thị xã Buôn Hồ","Tỉnh Đắk Lắk"
"24322","Phường Đoàn Kết","Thị xã Buôn Hồ","Tỉnh Đắk Lắk"
"24331","Phường Thống Nhất","Thị xã Buôn Hồ","Tỉnh Đắk Lắk"
"24133","Phường Thành Công","Thành phố Buôn Ma Thuột","Tỉnh Đắk Lắk"
"24136","Phường Tân Lợi","Thành phố Buôn Ma Thuột","Tỉnh Đắk Lắk"
"24142","Phường Tân Thành","Thành phố Buôn Ma Thuột","Tỉnh Đắk Lắk"
"24145","Phường Tân Tiến","Thành phố Buôn Ma Thuột","Tỉnh Đắk Lắk"
"24148","Phường Tự An","Thành phố Buôn Ma Thuột","Tỉnh Đắk Lắk"
"24160","Xã Cư ÊBur","Thành phố Buôn Ma Thuột","Tỉnh Đắk Lắk"
"26560","Phường Phước Trung","Thành phố Bà Rịa","Tỉnh Bà Rịa - Vũng Tàu"
"26554","Phường Phước Nguyên","Thành phố Bà Rịa","Tỉnh Bà Rịa - Vũng Tàu"
"26557","Phường Long Toàn","Thành phố Bà Rịa","Tỉnh Bà Rịa - Vũng Tàu"
"26548","Phường Phước Hưng","Thành phố Bà Rịa","Tỉnh Bà Rịa - Vũng Tàu"
"27160","Phường 1","Quận 3","Thành phố Hồ Chí Minh"
"27157","Phường 2","Quận 3","Thành phố Hồ Chí Minh"
"27154","Phường 3","Quận 3","Thành phố Hồ Chí Minh"
"27151","Phường 5","Quận 3","Thành phố Hồ Chí Minh"
"27148","Phường 4","Quận 3","Thành phố Hồ Chí Minh"
"20335","Phường Tân Thạnh","Thành phố Tam Kỳ","Tỉnh Quảng Nam"
"20375","Phường Hoà Thuận","Thành phố Tam Kỳ","Tỉnh Quảng Nam"
"20362","Xã Tam Thăng","Thành phố Tam Kỳ","Tỉnh Quảng Nam"
"05533","Xã Bá Xuyên","Thành phố Sông Công","Tỉnh Thái Nguyên"
"05512","Phường Mỏ Chè","Thành phố Sông Công","Tỉnh Thái Nguyên"
"05509","Phường Châu Sơn","Thành phố Sông Công","Tỉnh Thái Nguyên"
"05528","Phường Bách Quang","Thành phố Sông Công","Tỉnh Thái Nguyên"
"05506","Phường Lương Sơn","Thành phố Sông Công","Tỉnh Thái Nguyên"
"05527","Xã Tân Quang","Thành phố Sông Công","Tỉnh Thái Nguyên"
"06673","Phường Bãi Cháy","Thành phố Hạ Long","Tỉnh Quảng Ninh"
"06679","Phường Hùng Thắng","Thành phố Hạ Long","Tỉnh Quảng Ninh"
"25897","Xã Bình Mỹ","Huyện Bắc Tân Uyên","Tỉnh Bình Dương"
"25915","Phường Hội Nghĩa","Thành phố Tân Uyên","Tỉnh Bình Dương"
"25760","Phường Hoà Phú","Thành phố Thủ Dầu Một","Tỉnh Bình Dương"
"25762","Phường Phú Mỹ","Thành phố Thủ Dầu Một","Tỉnh Bình Dương"
"25763","Phường Phú Tân","Thành phố Thủ Dầu Một","Tỉnh Bình Dương"
"25924","Phường Phú Chánh","Thành phố Tân Uyên","Tỉnh Bình Dương"
"25987","Phường Bình Hòa","Thành phố Thuận An","Tỉnh Bình Dương"
"25990","Phường Vĩnh Phú","Thành phố Thuận An","Tỉnh Bình Dương"
"07081","Phường Bình Khê","Thành phố Đông Triều","Tỉnh Quảng Ninh"
"07096","Phường Tràng An","Thành phố Đông Triều","Tỉnh Quảng Ninh"
"07078","Xã Tràng Lương","Thành phố Đông Triều","Tỉnh Quảng Ninh"
"22024","Phường 9","Thành phố Tuy Hoà","Tỉnh Phú Yên"
"22042","Xã Hòa Kiến","Thành phố Tuy Hoà","Tỉnh Phú Yên"
"22045","Xã Bình Kiến","Thành phố Tuy Hoà","Tỉnh Phú Yên"
"22162","Xã An Phú","Thành phố Tuy Hoà","Tỉnh Phú Yên"
"25324","Phường An Lộc","Thị xã Bình Long","Tỉnh Bình Phước"
"25320","Phường Hưng Chiến","Thị xã Bình Long","Tỉnh Bình Phước"
"25326","Phường Phú Đức","Thị xã Bình Long","Tỉnh Bình Phước"
"25354","Xã Thanh Bình","Huyện Hớn Quản","Tỉnh Bình Phước"
"26323","Xã Xuân Thiện","Huyện Thống Nhất","Tỉnh Đồng Nai"
"26089","Xã Bình Lộc","Thành phố Long Khánh","Tỉnh Đồng Nai"
"26095","Phường Suối Tre","Thành phố Long Khánh","Tỉnh Đồng Nai"
"26923","Phường 5","Quận Bình Thạnh","Thành phố Hồ Chí Minh"
"26908","Phường 11","Quận Bình Thạnh","Thành phố Hồ Chí Minh"
"26905","Phường 13","Quận Bình Thạnh","Thành phố Hồ Chí Minh"
"25480","Phường Ninh Sơn","Thành phố Tây Ninh","Tỉnh Tây Ninh"
"25477","Xã Bình Minh","Thành phố Tây Ninh","Tỉnh Tây Ninh"
"25474","Xã Tân Bình","Thành phố Tây Ninh","Tỉnh Tây Ninh"
"25471","Xã Thạnh Tân","Thành phố Tây Ninh","Tỉnh Tây Ninh"
"29771","Phường Thành Phước","Thị xã Bình Minh","Tỉnh Vĩnh Long"
"29806","Xã Thuận An","Thị xã Bình Minh","Tỉnh Vĩnh Long"
"27385","Phường 10","Quận 6","Thành phố Hồ Chí Minh"
"27364","Phường 11","Quận 6","Thành phố Hồ Chí Minh"
"25195","Phường Tân Phú","Thành phố Đồng Xoài","Tỉnh Bình Phước"
"25198","Phường Tân Đồng","Thành phố Đồng Xoài","Tỉnh Bình Phước"
"25205","Phường Tân Thiện","Thành phố Đồng Xoài","Tỉnh Bình Phước"
"25201","Phường Tân Bình","Thành phố Đồng Xoài","Tỉnh Bình Phước"
"25204","Phường Tân Xuân","Thành phố Đồng Xoài","Tỉnh Bình Phước"
"25213","Xã Tiến Hưng","Thành phố Đồng Xoài","Tỉnh Bình Phước"
"26911","Phường 27","Quận Bình Thạnh","Thành phố Hồ Chí Minh"
"26962","Phường 28","Quận Bình Thạnh","Thành phố Hồ Chí Minh"
"02524","Phường Đội Cấn","Thành phố Tuyên Quang","Tỉnh Tuyên Quang"
"02521","Xã Thái Long","Thành phố Tuyên Quang","Tỉnh Tuyên Quang"
"23101","Xã Hàm Hiệp","Huyện Hàm Thuận Bắc","Tỉnh Bình Thuận"
"22927","Phường Phú Tài","Thành phố Phan Thiết","Tỉnh Bình Thuận"
"22960","Xã Phong Nẫm","Thành phố Phan Thiết","Tỉnh Bình Thuận"
"26917","Phường 12","Quận Bình Thạnh","Thành phố Hồ Chí Minh"
"26929","Phường 14","Quận Bình Thạnh","Thành phố Hồ Chí Minh"
"26914","Phường 26","Quận Bình Thạnh","Thành phố Hồ Chí Minh"
"27220","Phường 3","Quận 11","Thành phố Hồ Chí Minh"
"27232","Phường 10","Quận 11","Thành phố Hồ Chí Minh"
"27229","Phường 8","Quận 11","Thành phố Hồ Chí Minh"
"31177","Phường An Thới","Quận Bình Thuỷ","Thành phố Cần Thơ"
"31168","Phường Bình Thủy","Quận Bình Thuỷ","Thành phố Cần Thơ"
"31178","Phường Bùi Hữu Nghĩa","Quận Bình Thuỷ","Thành phố Cần Thơ"
"27373","Phường 1","Quận 6","Thành phố Hồ Chí Minh"
"27382","Phường 7","Quận 6","Thành phố Hồ Chí Minh"
"27376","Phường 8","Quận 6","Thành phố Hồ Chí Minh"
"27097","Phường Bình Trưng Đông","Thành phố Thủ Đức","Thành phố Hồ Chí Minh"
"27100","Phường Bình Trưng Tây","Thành phố Thủ Đức","Thành phố Hồ Chí Minh"
"27091","Phường An Phú","Thành phố Thủ Đức","Thành phố Hồ Chí Minh"
"27367","Phường 2","Quận 6","Thành phố Hồ Chí Minh"
"27352","Phường 9","Quận 6","Thành phố Hồ Chí Minh"
"28315","Phường Long Chánh","Thành phố Gò Công","Tỉnh Tiền Giang"
"28717","Xã Bình Xuân","Thành phố Gò Công","Tỉnh Tiền Giang"
"27424","Phường 6","Quận 8","Thành phố Hồ Chí Minh"
"27433","Phường 7","Quận 8","Thành phố Hồ Chí Minh"
"21907","Phường Bình Định","Thị xã An Nhơn","Tỉnh Bình Định"
"21937","Xã Nhơn Khánh","Thị xã An Nhơn","Tỉnh Bình Định"
"21931","Xã Nhơn Phúc","Thị xã An Nhơn","Tỉnh Bình Định"
"30289","Phường Bình Đức","Thành phố Long Xuyên","Tỉnh An Giang"
"30292","Phường Bình Khánh","Thành phố Long Xuyên","Tỉnh An Giang"
"30310","Xã Mỹ Khánh","Thành phố Long Xuyên","Tỉnh An Giang"
"31825","Phường 1","Thành phố Bạc Liêu","Tỉnh Bạc Liêu"
"31813","Phường 2","Thành phố Bạc Liêu","Tỉnh Bạc Liêu"
"31816","Phường 3","Thành phố Bạc Liêu","Tỉnh Bạc Liêu"
"31822","Phường 7","Thành phố Bạc Liêu","Tỉnh Bạc Liêu"
"31828","Phường 8","Thành phố Bạc Liêu","Tỉnh Bạc Liêu"
"00292","Phường Bạch Mai","Quận Hai Bà Trưng","Thành phố Hà Nội"
"00289","Phường Quỳnh Mai","Quận Hai Bà Trưng","Thành phố Hà Nội"
"00277","Phường Bách Khoa","Quận Hai Bà Trưng","Thành phố Hà Nội"
"00271","Phường Thanh Nhàn","Quận Hai Bà Trưng","Thành phố Hà Nội"
"00295","Phường Minh Khai","Quận Hai Bà Trưng","Thành phố Hà Nội"
"00280","Phường Đồng Tâm","Quận Hai Bà Trưng","Thành phố Hà Nội"
"11473","Phường Minh Đức","Thành phố Thuỷ Nguyên","Thành phố Hải Phòng"
"11539","Phường Phạm Ngũ Lão","Thành phố Thuỷ Nguyên","Thành phố Hải Phòng"
"11500","Xã Bạch Đằng","Thành phố Thuỷ Nguyên","Thành phố Hải Phòng"
"22741","Phường Phước Mỹ","Thành phố Phan Rang-Tháp Chàm","Tỉnh Ninh Thuận"
"22744","Phường Bảo An","Thành phố Phan Rang-Tháp Chàm","Tỉnh Ninh Thuận"
"22774","Xã Thành Hải","Thành phố Phan Rang-Tháp Chàm","Tỉnh Ninh Thuận"
"26092","Xã Bảo Quang","Thành phố Long Khánh","Tỉnh Đồng Nai"
"26098","Phường Bảo Vinh","Thành phố Long Khánh","Tỉnh Đồng Nai"
"10681","Phường Thất Hùng","Thị xã Kinh Môn","Tỉnh Hải Dương"
"10678","Xã Bạch Đằng","Thị xã Kinh Môn","Tỉnh Hải Dương"
"10684","Xã Lê Ninh","Thị xã Kinh Môn","Tỉnh Hải Dương"
"22408","Phường Cam Nghĩa","Thành phố Cam Ranh","Tỉnh Khánh Hòa"
"22411","Phường Cam Phúc Bắc","Thành phố Cam Ranh","Tỉnh Khánh Hòa"
"22468","Xã Cam Thành Nam","Thành phố Cam Ranh","Tỉnh Khánh Hòa"
"24611","Phường Nghĩa Đức","Thành phố Gia Nghĩa","Tỉnh Đắk Nông"
"24612","Phường Nghĩa Thành","Thành phố Gia Nghĩa","Tỉnh Đắk Nông"
"24619","Phường Quảng Thành","Thành phố Gia Nghĩa","Tỉnh Đắk Nông"
"24622","Xã Đắk Ha","Huyện Đăk Glong","Tỉnh Đắk Nông"
"07201","Phường Thọ Xương","Thành phố Bắc Giang","Tỉnh Bắc Giang"
"07207","Phường Ngô Quyền","Thành phố Bắc Giang","Tỉnh Bắc Giang"
"07225","Phường Xương Giang","Thành phố Bắc Giang","Tỉnh Bắc Giang"
"07210","Phường Hoàng Văn Thụ","Thành phố Bắc Giang","Tỉnh Bắc Giang"
"07213","Phường Trần Phú","Thành phố Bắc Giang","Tỉnh Bắc Giang"
"07231","Phường Dĩnh Kế","Thành phố Bắc Giang","Tỉnh Bắc Giang"
"07441","Phường Dĩnh Trì","Thành phố Bắc Giang","Tỉnh Bắc Giang"
"19102","Phường Quảng Phúc","Thị xã Ba Đồn","Tỉnh Quảng Bình"
"19066","Phường Quảng Thọ","Thị xã Ba Đồn","Tỉnh Quảng Bình"
"19081","Phường Quảng Thuận","Thị xã Ba Đồn","Tỉnh Quảng Bình"
"18115","Phường Bắc Hồng","Thị xã Hồng Lĩnh","Tỉnh Hà Tĩnh"
"18124","Phường Đức Thuận","Thị xã Hồng Lĩnh","Tỉnh Hà Tĩnh"
"18121","Phường Trung Lương","Thị xã Hồng Lĩnh","Tỉnh Hà Tĩnh"
"18400","Xã Xuân Lam","Huyện Nghi Xuân","Tỉnh Hà Tĩnh"
"01837","Phường Sông Cầu","Thành phố Bắc Kạn","Tỉnh Bắc Kạn"
"01843","Phường Phùng Chí Kiên","Thành phố Bắc Kạn","Tỉnh Bắc Kạn"
"01852","Xã Nông Thượng","Thành phố Bắc Kạn","Tỉnh Bắc Kạn"
"01855","Phường Xuất Hóa","Thành phố Bắc Kạn","Tỉnh Bắc Kạn"
"22327","Phường Vĩnh Hòa","Thành phố Nha Trang","Tỉnh Khánh Hòa"
"22330","Phường Vĩnh Hải","Thành phố Nha Trang","Tỉnh Khánh Hòa"
"22333","Phường Vĩnh Phước","Thành phố Nha Trang","Tỉnh Khánh Hòa"
"22339","Phường Vĩnh Thọ","Thành phố Nha Trang","Tỉnh Khánh Hòa"
"22384","Xã Vĩnh Lương","Thành phố Nha Trang","Tỉnh Khánh Hòa"
"22387","Xã Vĩnh Phương","Thành phố Nha Trang","Tỉnh Khánh Hòa"
"25834","Xã Lai Hưng","Huyện Bàu Bàng","Tỉnh Bình Dương"
"25825","Xã Tân Hưng","Huyện Bàu Bàng","Tỉnh Bình Dương"
"25813","Phường Mỹ Phước","Thành phố Bến Cát","Tỉnh Bình Dương"
"26743","Phường Bến Thành","Quận 1","Thành phố Hồ Chí Minh"
"26749","Phường Phạm Ngũ Lão","Quận 1","Thành phố Hồ Chí Minh"
"26746","Phường Nguyễn Thái Bình","Quận 1","Thành phố Hồ Chí Minh"
"28780","Phường 7","Thành phố Bến Tre","Tỉnh Bến Tre"
"28789","Xã Bình Phú","Thành phố Bến Tre","Tỉnh Bến Tre"
